age,income_man,credit_limit_man,balance_man,utilization_pct,num_products,months_active,num_late_3m,total_trans_amt,education_level,marital_status,default
42,457,290,165,56.9,5,89,2,426,대졸,미혼,0
67,392,320,325,101.6,3,20,1,101,대졸,이혼,1
38,377,280,53,18.9,4,20,1,48,대졸,기혼,0
63,367,680,177,26.0,5,32,0,102,대학원졸,기혼,0
30,351,630,373,59.2,2,86,0,213,대졸,미혼,0
66,325,540,75,13.9,4,45,3,517,대졸,기혼,0
28,383,830,320,38.6,3,8,2,28,대졸,미혼,1
44,494,960,148,15.4,2,90,1,443,대학원졸,기혼,0
66,245,180,75,41.7,2,119,1,10,고졸,기혼,0
48,557,1120,499,44.6,4,102,0,548,대졸,기혼,0
41,329,860,222,25.8,3,35,0,105,대학원졸,미혼,0
69,274,810,132,16.3,1,35,1,261,대학원졸,이혼,0
40,371,460,468,101.7,4,38,1,10,대졸,기혼,1
43,100,100,42,42.0,5,69,1,38,고졸,기혼,1
68,492,330,319,96.7,2,3,0,320,대학원졸,기혼,1
56,266,330,263,79.7,5,102,1,31,대졸,기혼,1
59,405,970,219,22.6,5,18,0,142,대졸,기혼,0
67,409,380,190,50.0,4,10,1,381,대졸,기혼,0
60,514,1250,1120,89.6,4,68,0,508,,기혼,0
29,198,550,181,32.9,4,3,0,363,대졸,기혼,0
58,565,1570,1459,92.9,1,46,0,15,대학원졸,기혼,1
25,150,430,64,14.9,1,56,0,246,고졸,기혼,0
27,312,640,169,26.4,4,7,0,255,고졸,미혼,0
68,495,520,318,61.2,2,64,1,182,대졸,기혼,1
69,200,220,191,86.8,3,102,1,511,고졸,미혼,1
69,291,450,372,82.7,5,88,1,515,대졸,미혼,0
37,500,1010,632,62.6,4,110,0,194,대졸,기혼,0
56,355,270,101,37.4,4,27,0,46,대학원졸,기혼,0
32,391,240,195,81.2,2,74,0,168,고졸,미혼,0
50,363,750,644,85.9,1,23,0,193,대졸,미혼,0
26,367,260,196,75.4,5,31,1,151,대졸,기혼,0
40,313,450,396,88.0,4,114,0,358,고졸,미혼,1
61,224,170,70,41.2,5,116,0,775,대학원졸,미혼,0
47,500,1060,712,67.2,3,14,0,297,대졸,미혼,0
65,379,770,238,30.9,3,68,0,189,고졸,기혼,0
36,215,460,436,94.8,3,62,0,116,고졸,미혼,0
45,,370,405,109.5,4,86,0,449,대졸,기혼,1
42,305,600,582,97.0,2,37,0,107,고졸,미혼,1
63,296,750,153,20.4,2,24,0,20,고졸,미혼,0
22,362,620,268,43.2,5,90,0,178,고졸,미혼,0
56,256,300,140,46.7,2,103,1,612,대졸,미혼,0
48,226,150,90,60.0,5,66,0,485,대학원졸,미혼,0
55,354,1050,108,10.3,2,72,0,33,대졸,미혼,0
43,366,340,129,37.9,4,30,0,340,대학원졸,미혼,0
29,310,720,199,27.6,2,42,1,737,대졸,기혼,0
26,245,590,567,96.1,3,14,0,134,고졸,미혼,0
61,439,620,534,86.1,5,12,0,549,대졸,미혼,0
39,,380,349,91.8,3,27,0,173,대졸,기혼,0
22,389,580,432,74.5,4,116,0,74,대학원졸,이혼,0
43,100,280,87,31.1,1,94,0,89,대졸,미혼,0
63,345,670,620,92.5,1,28,0,13,대졸,미혼,0
63,100,100,72,72.0,5,83,2,774,고졸,기혼,1
23,100,100,46,46.0,2,38,0,93,고졸,미혼,0
36,497,820,627,76.5,4,33,1,357,대졸,미혼,0
25,167,260,102,39.2,4,95,0,143,대졸,기혼,0
52,315,760,393,51.7,3,101,0,63,대졸,기혼,0
34,568,1550,1621,104.6,1,61,0,857,대졸,미혼,0
31,166,260,68,26.2,3,35,0,691,고졸,미혼,0
67,326,580,428,73.8,1,58,0,203,대학원졸,미혼,0
41,378,800,266,33.2,3,104,0,136,대학원졸,미혼,0
48,468,550,490,89.1,5,67,0,384,고졸,기혼,0
54,300,530,269,50.8,2,71,1,716,대졸,기혼,0
26,468,560,541,96.6,5,10,0,90,대졸,미혼,1
58,259,590,192,32.5,2,25,0,72,대학원졸,미혼,0
22,332,270,223,82.6,2,92,0,130,대졸,미혼,0
44,343,1020,505,49.5,3,67,1,35,대학원졸,이혼,1
42,141,230,249,108.3,5,90,0,14,대졸,기혼,1
30,285,610,92,15.1,4,103,0,52,대졸,기혼,0
66,303,470,80,17.0,2,85,1,315,대학원졸,미혼,0
46,500,330,158,47.9,3,116,0,521,대졸,미혼,0
52,100,120,39,32.5,2,103,0,46,대졸,기혼,0
63,231,550,598,108.7,3,39,1,893,대졸,기혼,1
37,364,430,194,45.1,3,23,0,369,대졸,미혼,0
30,497,1000,783,78.3,1,71,0,81,대졸,기혼,1
24,415,580,268,46.2,5,35,0,86,고졸,기혼,0
38,462,850,111,13.1,1,27,0,335,대학원졸,미혼,0
65,460,270,89,33.0,3,81,0,333,고졸,기혼,0
24,146,410,424,103.4,2,68,3,171,,미혼,1
37,353,820,808,98.5,4,78,2,43,고졸,미혼,1
25,413,1010,231,22.9,4,116,0,317,대졸,이혼,0
68,150,320,132,41.2,4,69,1,91,대학원졸,기혼,0
56,676,1860,855,46.0,1,27,0,10,고졸,기혼,0
58,559,1410,1424,101.0,1,107,1,462,고졸,기혼,0
46,652,1570,883,56.2,5,29,1,240,대졸,기혼,0
55,100,150,52,34.7,2,117,1,682,대졸,기혼,1
64,419,640,167,26.1,5,52,0,22,대학원졸,기혼,0
24,256,450,232,51.6,3,90,1,110,대학원졸,미혼,0
45,392,1090,1173,107.6,4,84,1,17,대졸,기혼,1
67,504,1130,939,83.1,1,81,1,16,대졸,기혼,0
42,581,1510,519,34.4,5,23,1,51,고졸,미혼,1
57,328,260,124,47.7,1,14,0,26,대졸,미혼,0
40,392,760,626,82.4,1,8,0,128,대졸,기혼,0
34,536,560,358,63.9,4,58,0,420,대졸,기혼,0
27,398,1100,1064,96.7,3,31,1,64,대졸,기혼,1
39,190,430,335,77.9,3,113,0,57,대졸,미혼,0
38,226,400,279,69.8,2,65,1,84,대학원졸,기혼,1
30,150,100,102,102.0,3,55,2,70,대학원졸,기혼,1
67,197,520,433,83.3,4,44,1,667,대졸,미혼,1
33,213,630,533,84.6,3,8,1,182,대졸,미혼,1
37,100,220,148,67.3,5,92,0,341,고졸,기혼,0
42,241,520,560,107.7,1,10,0,75,대졸,기혼,1
38,205,420,112,26.7,1,98,1,222,고졸,기혼,0
22,268,680,123,18.1,3,77,1,94,고졸,기혼,0
54,446,240,78,32.5,3,113,1,107,대학원졸,기혼,0
41,298,200,74,37.0,2,102,0,202,대졸,미혼,0
41,346,650,479,73.7,1,105,0,70,대졸,미혼,1
49,575,330,139,42.1,1,5,1,362,대졸,기혼,1
45,273,400,272,68.0,2,60,0,42,고졸,미혼,0
63,203,540,359,66.5,2,80,0,31,대졸,미혼,0
57,462,1300,982,75.5,1,93,0,70,고졸,이혼,0
58,380,850,801,94.2,4,103,1,291,대졸,기혼,1
42,100,140,88,62.9,1,95,0,40,대졸,미혼,0
50,466,1000,843,84.3,2,66,1,90,대졸,미혼,1
23,,880,287,32.6,5,31,1,423,대졸,기혼,0
33,362,1070,974,91.0,1,108,2,10,고졸,기혼,1
39,545,1030,764,74.2,1,39,0,70,대졸,미혼,0
52,206,360,151,41.9,3,83,0,152,대졸,미혼,0
60,212,260,219,84.2,2,37,0,344,대졸,이혼,0
56,211,320,288,90.0,2,64,0,235,대졸,기혼,0
47,324,690,595,86.2,5,44,0,10,대졸,미혼,0
61,499,720,656,91.1,3,96,0,18,고졸,기혼,1
46,111,280,44,15.7,4,60,1,181,대학원졸,이혼,1
34,187,240,180,75.0,3,99,0,301,대졸,이혼,0
34,312,380,87,22.9,3,39,0,25,고졸,미혼,0
54,240,500,249,49.8,1,92,1,10,고졸,미혼,0
30,280,240,225,93.8,4,95,0,16,대졸,기혼,0
69,434,630,64,10.2,3,57,0,41,대졸,기혼,0
45,258,450,177,39.3,5,49,1,10,대졸,기혼,0
47,302,260,227,87.3,1,43,1,69,대학원졸,미혼,0
67,361,960,742,77.3,4,95,0,233,고졸,기혼,0
43,197,420,59,14.0,5,110,1,108,고졸,미혼,0
44,412,990,182,18.4,5,16,0,185,대학원졸,기혼,0
67,194,460,305,66.3,3,84,0,66,고졸,기혼,0
41,412,890,874,98.2,4,95,0,43,고졸,기혼,0
63,529,1210,301,24.9,5,13,0,10,고졸,기혼,0
69,312,420,138,32.9,5,51,0,267,,기혼,0
58,114,260,37,14.2,5,119,0,549,고졸,기혼,0
61,346,750,257,34.3,2,103,0,20,고졸,기혼,0
61,356,870,807,92.8,3,66,0,599,고졸,미혼,1
39,412,910,656,72.1,3,78,2,45,대졸,미혼,1
61,329,190,144,75.8,3,55,1,190,고졸,미혼,1
40,120,100,15,15.0,4,76,1,163,대졸,미혼,0
59,175,150,86,57.3,2,6,0,24,대학원졸,이혼,0
56,208,470,204,43.4,2,99,0,1147,대졸,기혼,0
45,438,340,358,105.3,2,44,0,249,대학원졸,기혼,0
60,235,440,207,47.0,3,26,0,26,대학원졸,이혼,0
30,279,650,661,101.7,1,28,1,170,대학원졸,기혼,1
39,531,980,742,75.7,4,44,1,74,대학원졸,미혼,0
63,248,310,176,56.8,5,55,1,193,고졸,이혼,0
69,286,640,83,13.0,4,19,0,147,대졸,미혼,0
41,264,440,106,24.1,5,12,0,51,대학원졸,기혼,0
65,681,660,474,71.8,3,99,0,58,대학원졸,기혼,0
66,429,700,265,37.9,1,52,0,172,대학원졸,미혼,0
57,334,660,321,48.6,1,62,0,45,대학원졸,기혼,0
64,472,820,687,83.8,3,44,0,530,,이혼,0
42,303,610,305,50.0,2,38,0,148,대학원졸,이혼,0
48,432,1180,1047,88.7,3,45,0,144,고졸,이혼,0
47,397,350,243,69.4,1,59,1,1297,대졸,기혼,1
65,155,140,125,89.3,2,83,0,159,대졸,기혼,0
45,516,1420,784,55.2,3,63,1,132,대학원졸,기혼,1
24,155,410,420,102.4,5,21,0,149,고졸,기혼,0
62,247,490,378,77.1,4,105,0,121,고졸,기혼,0
23,411,340,261,76.8,3,99,0,435,대졸,미혼,0
47,518,750,361,48.1,4,16,1,101,고졸,미혼,1
49,529,1140,346,30.4,2,23,2,116,고졸,미혼,0
36,160,360,162,45.0,2,26,0,47,고졸,미혼,0
26,374,820,555,67.7,2,92,0,252,대졸,기혼,0
49,100,250,194,77.6,2,15,1,50,대졸,기혼,0
64,311,210,40,19.0,4,5,0,313,대졸,미혼,0
25,361,1020,723,70.9,2,79,1,411,고졸,미혼,1
39,459,1170,855,73.1,2,9,0,284,대졸,미혼,1
69,283,420,61,14.5,2,11,1,146,대학원졸,기혼,1
54,574,370,398,107.6,1,117,2,112,고졸,기혼,1
35,303,850,796,93.6,5,61,0,64,대학원졸,미혼,0
63,497,880,712,80.9,4,115,0,20,대졸,기혼,1
52,435,360,56,15.6,3,82,0,63,대졸,미혼,0
57,328,850,132,15.5,5,41,0,615,대졸,이혼,0
41,573,920,291,31.6,1,99,1,67,,기혼,1
31,479,840,379,45.1,2,110,1,110,대졸,기혼,0
64,300,660,597,90.5,5,108,0,47,대졸,이혼,0
29,177,340,216,63.5,4,5,0,96,대졸,기혼,0
39,633,430,274,63.7,2,17,1,49,고졸,기혼,0
26,267,300,307,102.3,2,51,1,123,고졸,기혼,1
25,537,1280,873,68.2,3,15,1,100,대졸,기혼,0
46,135,270,192,71.1,2,71,0,180,대졸,미혼,0
68,470,870,317,36.4,3,18,0,173,대졸,기혼,0
52,606,370,192,51.9,3,64,0,477,대졸,기혼,0
69,214,360,210,58.3,5,23,0,454,대졸,기혼,0
42,358,630,682,108.3,2,88,1,213,고졸,기혼,1
27,536,390,345,88.5,4,99,0,12,대학원졸,기혼,0
41,423,340,273,80.3,3,80,1,53,대졸,기혼,0
30,559,510,548,107.5,1,90,0,330,대졸,이혼,0
30,189,240,82,34.2,2,110,2,610,고졸,기혼,0
36,465,720,91,12.6,3,114,0,59,대졸,기혼,0
39,447,440,150,34.1,5,66,2,18,대졸,기혼,0
57,567,930,944,101.5,1,71,1,72,고졸,기혼,1
60,419,1080,921,85.3,5,18,0,30,대졸,기혼,1
30,403,600,321,53.5,3,53,0,153,대졸,미혼,0
63,279,190,111,58.4,2,43,0,125,대졸,기혼,0
55,537,470,511,108.7,1,65,0,339,,기혼,0
27,182,320,72,22.5,3,52,1,108,고졸,기혼,0
46,178,350,146,41.7,3,70,1,321,대학원졸,기혼,1
67,100,150,60,40.0,2,48,1,43,대졸,미혼,0
39,100,100,61,61.0,1,47,0,402,대졸,기혼,0
23,492,1050,929,88.5,4,4,0,72,대졸,미혼,0
23,470,620,452,72.9,4,6,0,779,고졸,미혼,1
24,519,1170,250,21.4,5,59,0,129,,미혼,0
67,423,280,259,92.5,2,62,0,208,대졸,미혼,1
35,176,390,140,35.9,1,87,0,362,대학원졸,기혼,0
51,278,790,130,16.5,2,83,1,142,고졸,기혼,1
36,501,780,392,50.3,4,79,1,445,대졸,미혼,1
67,325,840,838,99.8,1,64,2,48,고졸,미혼,0
67,555,720,338,46.9,1,53,0,18,대졸,기혼,0
69,478,1110,619,55.8,5,32,1,235,대졸,이혼,1
33,261,390,171,43.8,4,99,0,338,고졸,기혼,0
23,419,480,66,13.8,5,100,0,151,대학원졸,미혼,0
51,347,1010,482,47.7,4,34,0,226,대졸,기혼,0
31,558,780,258,33.1,4,81,1,10,대졸,기혼,1
54,208,210,164,78.1,3,64,0,496,고졸,미혼,0
38,395,900,758,84.2,2,65,0,566,대졸,기혼,0
39,302,800,390,48.8,1,98,1,705,대학원졸,미혼,1
53,399,430,179,41.6,4,105,0,315,대졸,기혼,0
53,609,1040,759,73.0,2,31,0,89,고졸,기혼,0
32,426,400,191,47.8,2,15,0,145,대학원졸,미혼,0
68,624,1510,1503,99.5,5,36,0,233,고졸,이혼,1
33,258,130,138,106.2,2,1,0,235,대졸,이혼,1
56,472,1330,572,43.0,5,118,2,229,대졸,이혼,1
47,371,1060,712,67.2,2,85,0,47,대학원졸,기혼,0
46,216,430,266,61.9,1,55,0,21,대졸,미혼,0
46,158,200,107,53.5,2,110,1,210,대졸,기혼,0
52,356,1040,170,16.3,4,72,0,803,대학원졸,기혼,0
53,313,900,731,81.2,4,86,0,16,대졸,미혼,0
45,354,860,756,87.9,1,116,0,71,고졸,미혼,0
54,686,1790,595,33.2,2,66,0,92,대학원졸,미혼,0
38,591,650,150,23.1,3,107,1,53,대졸,미혼,0
28,334,780,385,49.4,5,118,1,334,대학원졸,미혼,0
39,356,390,62,15.9,2,110,0,169,대졸,미혼,0
36,315,540,583,108.0,3,74,1,84,대졸,기혼,1
26,350,810,509,62.8,5,110,0,264,대졸,기혼,0
68,523,1200,575,47.9,5,35,0,10,대졸,이혼,0
33,540,1300,338,26.0,2,4,1,55,대졸,이혼,1
28,221,330,193,58.5,3,18,0,110,대졸,미혼,0
45,130,310,69,22.3,2,88,0,163,,기혼,0
40,,210,104,49.5,3,94,0,199,,기혼,0
61,539,630,556,88.3,4,23,0,23,대졸,미혼,0
38,351,380,129,33.9,4,58,1,292,대학원졸,이혼,0
56,260,560,61,10.9,2,117,0,648,대학원졸,기혼,0
30,440,410,205,50.0,2,79,0,45,대졸,미혼,0
68,632,580,589,101.6,2,43,0,210,고졸,이혼,1
62,,1010,692,68.5,4,43,0,72,대학원졸,미혼,0
67,539,370,402,108.6,4,61,1,58,대졸,미혼,1
24,589,620,154,24.8,4,52,1,15,대졸,기혼,0
42,239,660,232,35.2,5,42,0,497,,기혼,1
61,345,710,596,83.9,1,81,2,170,고졸,미혼,1
45,482,520,354,68.1,1,81,0,110,,기혼,0
32,234,590,573,97.1,5,11,0,77,고졸,미혼,1
34,579,1280,515,40.2,5,79,0,143,대졸,기혼,0
22,253,760,103,13.6,5,117,2,279,대졸,기혼,0
64,405,500,385,77.0,5,87,0,20,대졸,이혼,0
39,496,1340,908,67.8,1,61,2,543,대졸,미혼,0
38,277,740,370,50.0,5,112,0,168,대졸,기혼,0
38,416,560,77,13.8,3,87,0,970,대졸,기혼,0
39,100,150,53,35.3,1,27,0,179,대학원졸,기혼,0
34,292,860,895,104.1,2,17,3,218,대졸,기혼,1
53,392,650,128,19.7,1,101,0,287,대학원졸,미혼,0
64,411,590,469,79.5,2,73,0,94,대졸,미혼,0
37,225,310,335,108.1,4,112,0,10,대졸,미혼,0
47,318,430,356,82.8,4,48,1,491,,기혼,0
42,445,580,508,87.6,5,50,0,73,대졸,미혼,0
63,453,1290,452,35.0,3,108,0,79,대졸,기혼,0
47,417,1240,584,47.1,3,30,0,51,고졸,미혼,0
27,206,420,322,76.7,2,57,0,63,고졸,이혼,0
68,510,790,576,72.9,4,30,1,301,고졸,미혼,1
37,385,1060,832,78.5,2,45,0,156,대졸,미혼,0
42,100,260,157,60.4,2,33,0,58,대졸,미혼,0
35,272,280,214,76.4,4,50,0,336,대졸,이혼,0
68,176,260,106,40.8,2,43,1,146,대학원졸,기혼,0
39,416,570,466,81.8,2,78,0,10,대졸,기혼,0
22,432,550,112,20.4,2,33,0,684,고졸,기혼,0
25,282,190,142,74.7,3,90,0,13,대졸,미혼,0
59,323,360,323,89.7,1,28,0,40,대졸,기혼,0
40,146,270,212,78.5,1,44,0,73,대졸,기혼,0
52,431,460,465,101.1,2,36,2,73,대졸,기혼,0
48,286,200,145,72.5,1,114,1,48,대졸,기혼,1
69,277,420,116,27.6,3,45,1,104,대졸,미혼,0
25,507,1430,1442,100.8,1,98,1,472,대졸,미혼,1
59,209,390,303,77.7,4,85,0,178,대학원졸,미혼,0
26,361,500,310,62.0,3,35,0,76,대학원졸,미혼,0
59,499,730,319,43.7,3,75,0,43,대학원졸,이혼,0
65,353,910,515,56.6,1,95,1,248,,미혼,1
58,339,460,78,17.0,3,74,0,180,대학원졸,이혼,0
38,218,620,676,109.0,3,66,1,253,대졸,기혼,1
27,299,720,160,22.2,4,73,1,614,대졸,이혼,0
48,,180,54,30.0,4,102,0,140,대졸,기혼,0
41,254,620,315,50.8,3,57,0,231,대학원졸,미혼,0
69,204,550,535,97.3,4,12,0,140,대학원졸,기혼,1
34,499,460,109,23.7,2,2,0,333,,기혼,0
34,,250,195,78.0,3,116,0,266,대학원졸,기혼,0
55,100,120,125,104.2,1,18,0,88,고졸,이혼,0
43,229,340,281,82.6,5,22,0,150,대졸,기혼,0
26,276,550,366,66.5,4,43,0,331,대졸,기혼,0
59,609,620,318,51.3,3,2,0,101,대학원졸,미혼,0
63,249,670,311,46.4,4,64,0,535,고졸,미혼,0
68,345,760,125,16.4,3,20,0,66,대학원졸,미혼,0
60,389,270,212,78.5,5,51,0,331,대학원졸,미혼,0
57,357,640,200,31.2,5,119,0,266,대졸,미혼,0
41,742,1710,1734,101.4,5,11,1,151,대졸,기혼,0
69,474,790,351,44.4,2,88,1,143,대졸,기혼,0
66,232,370,299,80.8,5,112,2,335,대졸,기혼,1
64,418,800,549,68.6,1,21,1,257,대졸,미혼,0
68,653,350,278,79.4,5,40,0,32,대졸,기혼,0
66,268,560,380,67.9,5,30,0,53,대학원졸,기혼,0
48,331,570,539,94.6,3,65,0,323,고졸,기혼,0
24,100,100,76,76.0,4,56,1,274,대학원졸,기혼,0
57,403,700,548,78.3,2,114,0,112,대학원졸,이혼,0
68,167,420,271,64.5,1,7,0,10,대졸,기혼,0
55,311,670,638,95.2,5,114,0,108,고졸,미혼,1
60,380,320,276,86.2,5,69,2,216,대졸,기혼,0
55,564,1240,281,22.7,5,53,0,186,대졸,기혼,0
25,427,1100,504,45.8,5,45,1,411,대졸,미혼,1
68,299,340,178,52.4,5,14,0,160,고졸,기혼,0
59,336,290,112,38.6,5,43,0,158,고졸,이혼,0
28,135,100,81,81.0,3,55,0,348,고졸,미혼,1
56,151,310,245,79.0,3,25,0,61,대졸,기혼,1
28,592,520,134,25.8,4,5,0,138,대졸,미혼,0
63,208,260,61,23.5,1,19,2,22,대졸,미혼,0
48,294,620,270,43.5,2,97,0,155,대졸,미혼,0
32,586,1190,792,66.6,2,4,0,230,대졸,미혼,0
45,212,340,248,72.9,1,111,0,393,대학원졸,기혼,1
46,450,1060,229,21.6,5,19,1,55,고졸,미혼,0
31,509,590,395,66.9,4,15,0,10,대졸,기혼,0
34,497,600,125,20.8,1,30,1,10,대졸,미혼,1
23,579,1040,945,90.9,3,101,0,161,대졸,미혼,0
51,231,560,428,76.4,2,65,0,277,고졸,기혼,1
28,170,310,258,83.2,1,76,0,105,대졸,기혼,0
40,505,650,132,20.3,5,53,1,29,대졸,미혼,1
67,273,780,837,107.3,2,89,0,15,,미혼,1
58,770,1150,686,59.7,5,54,2,51,대학원졸,기혼,0
47,313,910,274,30.1,2,55,0,28,고졸,미혼,0
68,434,370,149,40.3,5,36,0,848,대학원졸,기혼,0
65,318,450,257,57.1,5,103,2,265,대학원졸,미혼,0
35,312,750,176,23.5,2,61,0,132,대졸,미혼,1
62,254,200,161,80.5,4,104,0,349,대졸,미혼,0
43,830,850,858,100.9,1,82,0,421,대졸,미혼,0
52,549,980,866,88.4,5,61,0,110,대졸,기혼,0
36,534,1090,565,51.8,1,68,0,307,대졸,기혼,0
55,350,180,175,97.2,1,84,1,108,대졸,미혼,1
57,419,310,316,101.9,1,42,0,321,대졸,미혼,0
39,,1070,1001,93.6,1,89,0,21,대졸,미혼,1
52,365,960,905,94.3,4,91,0,50,대학원졸,기혼,1
52,126,360,67,18.6,5,25,1,72,대졸,미혼,0
24,177,450,485,107.8,5,43,0,553,대졸,기혼,0
67,469,1210,696,57.5,1,86,0,103,대학원졸,미혼,0
22,432,360,223,61.9,3,25,1,36,대졸,미혼,1
53,377,320,298,93.1,1,112,1,237,대졸,미혼,1
41,127,290,39,13.4,1,61,0,232,고졸,기혼,0
27,240,660,710,107.6,2,119,1,239,대졸,이혼,1
56,400,820,805,98.2,3,48,0,143,고졸,기혼,1
48,188,180,58,32.2,5,104,0,356,대졸,기혼,0
37,485,550,95,17.3,5,9,2,185,,기혼,0
28,285,680,357,52.5,1,118,0,183,고졸,기혼,0
60,551,480,209,43.5,1,75,1,226,고졸,기혼,0
60,449,560,333,59.5,4,24,0,495,대졸,기혼,0
42,342,240,234,97.5,4,83,1,116,대학원졸,미혼,1
39,,720,745,103.5,5,28,0,66,대학원졸,미혼,0
38,671,840,569,67.7,2,32,1,406,대졸,미혼,0
45,413,1110,503,45.3,4,2,0,40,대학원졸,이혼,0
42,135,140,65,46.4,2,66,1,278,대졸,기혼,0
64,692,1360,770,56.6,2,92,0,156,고졸,미혼,0
48,447,900,305,33.9,1,95,0,80,대졸,이혼,0
49,253,480,64,13.3,2,25,0,230,대졸,미혼,0
55,327,450,308,68.4,5,65,0,189,대졸,기혼,1
52,166,490,102,20.8,2,50,1,298,대졸,이혼,1
43,466,620,560,90.3,1,39,0,34,대학원졸,미혼,1
68,355,210,40,19.0,2,57,0,10,대졸,기혼,1
47,256,160,137,85.6,5,13,0,26,고졸,미혼,0
66,389,840,493,58.7,1,84,1,445,대학원졸,기혼,1
35,308,430,114,26.5,4,16,2,244,고졸,기혼,0
67,100,110,45,40.9,5,31,0,338,대졸,미혼,0
33,467,570,287,50.4,5,60,1,91,대졸,미혼,0
52,477,920,427,46.4,5,30,0,205,대졸,기혼,0
66,546,1110,503,45.3,5,53,1,177,대졸,기혼,1
46,353,350,186,53.1,4,98,1,32,대학원졸,미혼,0
32,100,300,51,17.0,3,30,0,151,대졸,미혼,0
34,610,760,682,89.7,3,56,1,154,대졸,미혼,1
45,650,1760,732,41.6,2,59,2,105,고졸,기혼,0
63,505,1160,364,31.4,2,63,0,14,대졸,미혼,0
32,470,1180,782,66.3,3,5,0,98,고졸,기혼,0
45,455,760,89,11.7,1,106,0,98,고졸,기혼,0
41,566,1660,1664,100.2,3,85,0,425,대졸,미혼,0
37,,1430,826,57.8,3,83,1,97,고졸,기혼,0
52,573,690,128,18.6,3,33,0,150,고졸,기혼,0
28,311,800,677,84.6,4,119,0,189,고졸,기혼,0
59,454,1240,329,26.5,4,102,0,144,고졸,기혼,0
33,578,1540,1427,92.7,3,71,1,161,대졸,기혼,1
69,240,670,146,21.8,2,21,2,413,고졸,미혼,0
37,389,650,196,30.2,1,89,1,81,대졸,미혼,0
28,411,1150,1119,97.3,4,108,1,87,고졸,미혼,1
31,100,230,177,77.0,2,46,1,163,대학원졸,미혼,0
55,477,1340,1229,91.7,3,64,0,101,대졸,이혼,0
63,205,610,257,42.1,3,41,2,150,고졸,기혼,0
