production_line,material_type,shift,temp_sensor_1,temp_sensor_2,pressure_sensor,humidity,vibration_sensor,processing_time_sec,power_consumption_kw,operator_experience_yr,yield_pct
Line-C,Type-Y,야간,196.06,191.17,1.562,62.2,0.395,96.1,210.8,11,85.57
Line-A,Type-X,주간,210.53,218.83,1.447,71.5,0.052,76.4,160.6,15,92.57
Line-C,Type-X,야간,179.96,180.74,1.798,49.2,0.045,107.0,219.3,11,88.68
Line-C,Type-Z,주간,202.98,201.99,1.22,50.6,0.098,117.9,247.9,13,85.73
Line-A,Type-X,주간,190.42,191.44,1.542,52.9,0.696,114.8,255.0,9,91.21
Line-C,Type-X,주간,216.24,229.41,2.014,53.2,0.079,148.8,310.2,13,91.06
Line-A,Type-X,주간,204.5,202.87,1.572,48.9,0.065,141.9,292.9,1,92.87
Line-B,Type-Y,주간,164.36,166.61,1.245,53.1,1.012,141.0,290.0,7,93.77
Line-A,Type-Y,주간,207.44,204.42,1.515,,0.081,174.7,366.6,11,93.83
Line-B,Type-Z,야간,201.9,209.72,1.332,,0.883,109.8,221.5,13,87.66
Line-A,Type-Z,주간,222.1,218.79,1.624,61.5,0.031,128.8,275.4,3,89.34
Line-C,Type-Y,주간,202.47,210.58,1.301,67.8,0.076,105.2,226.2,8,87.23
Line-A,Type-Y,야간,197.95,197.52,1.669,47.4,0.216,139.7,303.4,2,87.67
Line-B,Type-Y,주간,218.74,,1.477,51.5,0.578,130.1,280.5,12,89.39
Line-A,Type-Y,야간,192.15,183.1,1.28,41.9,0.456,108.8,226.7,15,90.7
Line-A,Type-X,야간,201.95,194.06,1.562,,0.013,108.7,230.3,13,90.71
Line-C,Type-Z,주간,198.16,190.41,1.585,52.5,0.208,146.1,310.0,2,85.28
Line-B,Type-Y,야간,290.0,189.83,1.387,,0.321,140.7,302.5,11,82.41
Line-A,Type-Y,야간,203.17,201.24,1.694,57.8,0.342,125.9,270.5,5,87.87
Line-C,Type-Z,야간,199.45,199.42,1.367,37.3,0.194,122.6,249.8,2,83.7
Line-B,Type-Y,야간,202.14,197.14,0.952,25.1,0.024,152.8,308.0,13,94.7
Line-C,Type-X,주간,208.5,211.51,1.241,41.0,0.007,142.3,292.3,1,89.16
Line-B,Type-X,야간,227.2,224.64,1.005,60.7,0.083,98.5,200.1,4,87.19
Line-A,Type-Y,야간,193.51,193.84,4.5,51.6,0.074,87.7,190.6,13,83.31
Line-A,Type-X,야간,193.2,191.1,1.258,41.2,0.339,100.4,213.8,12,92.42
Line-B,Type-X,주간,178.72,179.48,1.706,53.4,0.156,125.7,282.1,6,91.04
Line-B,Type-X,주간,216.85,,1.19,51.8,0.44,134.2,293.7,4,88.39
Line-A,Type-Y,주간,207.91,198.94,1.973,50.4,0.013,118.6,260.1,5,89.1
Line-B,Type-Y,주간,189.43,188.95,1.269,68.7,0.081,131.0,267.4,7,89.56
Line-A,Type-Y,야간,217.07,222.99,1.003,59.5,0.309,111.5,234.2,6,88.43
Line-C,Type-Y,야간,171.84,173.41,1.339,42.7,0.026,123.2,264.7,4,87.69
Line-B,Type-X,주간,188.36,190.09,1.631,61.8,0.113,93.7,190.3,4,89.27
Line-B,Type-X,주간,194.47,191.24,1.454,53.7,0.43,109.6,251.4,5,89.98
Line-B,Type-X,주간,221.26,217.61,1.59,53.9,0.693,113.1,243.2,4,89.37
Line-B,Type-Z,야간,215.28,210.11,1.834,49.4,0.162,147.0,315.7,10,88.67
Line-A,Type-X,야간,192.32,199.92,1.3,44.0,0.194,111.8,221.9,7,92.03
Line-A,Type-X,야간,199.81,208.33,1.396,53.7,0.276,130.8,285.2,5,91.32
Line-C,Type-Z,주간,193.48,200.96,1.55,53.7,0.039,121.3,265.3,8,87.22
Line-C,Type-X,주간,211.08,,1.671,60.4,0.336,99.8,205.0,4,88.59
Line-C,Type-Y,주간,197.68,204.04,1.471,67.0,0.258,81.8,169.0,4,85.12
Line-B,Type-Y,주간,198.45,205.89,1.917,59.6,0.061,130.1,269.9,10,90.18
Line-A,Type-Z,야간,177.81,173.97,1.693,56.4,0.051,129.6,287.9,15,90.23
Line-B,Type-Z,야간,203.37,203.78,1.491,41.3,0.0,97.6,206.5,9,87.61
Line-C,Type-Y,주간,201.77,205.4,1.281,46.5,0.535,132.1,281.2,10,86.42
Line-C,Type-Z,야간,180.25,180.14,0.989,32.2,0.118,124.3,267.0,4,84.3
Line-A,Type-Y,야간,183.49,178.42,1.223,51.4,0.523,121.7,243.8,4,96.76
Line-A,Type-Y,야간,201.52,200.82,1.504,45.8,0.063,97.6,210.2,3,89.74
Line-A,Type-Z,주간,207.0,200.8,1.375,56.7,0.254,135.8,284.0,13,88.88
Line-A,Type-Y,주간,208.8,199.15,1.135,62.1,0.054,124.7,243.9,5,90.62
Line-A,Type-Z,주간,218.22,218.65,1.638,46.1,0.02,127.9,263.9,14,91.7
Line-C,Type-Z,야간,290.0,190.37,1.555,56.9,0.125,103.0,208.0,10,80.3
Line-A,Type-X,주간,180.93,181.72,1.027,60.6,0.389,111.9,241.4,5,91.53
Line-A,Type-X,주간,189.33,186.13,1.407,74.0,0.009,109.5,223.3,10,91.86
Line-B,Type-X,주간,211.36,211.1,1.092,53.2,0.005,128.4,279.5,5,91.71
Line-B,Type-Z,주간,193.44,198.98,1.663,48.5,0.269,106.3,204.0,4,85.38
Line-B,Type-X,주간,229.62,233.63,1.152,72.2,0.272,140.6,297.3,1,89.37
Line-B,Type-Y,주간,183.84,177.99,2.201,35.4,0.066,80.3,164.3,10,89.0
Line-B,Type-Z,주간,203.87,198.62,1.602,62.4,0.194,106.8,210.1,5,85.45
Line-A,Type-Y,주간,194.51,200.11,2.021,46.5,0.07,94.0,200.2,4,90.49
Line-C,Type-Y,야간,219.75,225.14,1.481,45.9,0.015,143.3,285.9,14,88.17
Line-C,Type-Y,주간,173.36,182.12,1.459,58.6,0.488,125.8,253.9,2,88.24
Line-B,Type-Z,주간,209.98,211.32,1.7,38.4,0.098,78.4,152.8,12,88.64
Line-A,Type-X,야간,212.87,215.62,1.567,51.9,1.378,113.1,233.6,5,87.12
Line-A,Type-Y,야간,191.15,187.2,1.458,48.5,0.088,136.4,284.0,2,89.41
Line-A,Type-Y,주간,211.18,213.8,2.109,57.6,0.247,112.3,238.6,1,85.98
Line-B,Type-Z,야간,201.49,,1.147,40.2,1.166,72.6,142.3,10,85.8
Line-B,Type-Y,야간,203.62,213.41,1.301,22.6,0.021,137.0,287.9,10,89.99
Line-B,Type-X,야간,196.9,188.74,1.663,42.1,0.501,106.8,226.6,9,89.77
Line-C,Type-X,주간,198.37,205.79,1.725,20.0,0.019,131.2,299.1,8,88.1
Line-C,Type-Y,야간,208.26,207.23,1.574,34.3,0.094,130.6,273.1,5,87.54
Line-C,Type-Y,주간,210.32,225.66,1.954,46.7,0.324,96.0,193.9,13,84.58
Line-A,Type-Z,야간,207.26,208.58,1.513,43.0,0.042,102.3,218.2,15,86.75
Line-C,Type-Y,야간,212.5,204.3,1.398,35.9,0.073,102.4,220.0,11,86.04
Line-C,Type-Z,야간,190.69,186.46,1.574,55.8,0.263,113.4,251.8,14,85.82
Line-B,Type-X,주간,193.91,186.43,1.315,40.1,0.054,146.2,319.9,4,95.75
Line-C,Type-Y,야간,218.36,224.93,1.829,55.5,0.3,120.9,246.3,14,84.67
Line-C,Type-X,주간,209.3,212.46,1.468,42.4,0.289,115.7,247.2,7,88.9
Line-C,Type-Y,야간,164.2,158.69,1.457,51.8,0.015,117.5,241.2,6,90.03
Line-B,Type-Z,주간,182.21,,1.791,52.8,0.332,132.7,296.6,15,88.36
Line-B,Type-X,야간,179.94,179.76,1.598,51.8,0.162,127.0,269.4,2,89.23
Line-A,Type-X,주간,210.26,220.57,2.099,49.7,0.091,114.5,260.9,13,92.64
Line-B,Type-Z,야간,191.87,192.83,1.421,51.0,0.165,113.3,232.9,1,84.44
Line-C,Type-X,야간,205.19,204.46,1.855,46.8,0.369,110.8,224.4,10,88.58
Line-A,Type-X,주간,199.75,199.12,1.803,59.6,1.228,98.0,208.6,12,88.68
Line-A,Type-X,주간,193.79,186.77,0.818,41.0,0.126,148.3,310.6,1,92.61
Line-B,Type-X,야간,207.26,216.06,1.446,60.7,0.538,140.4,277.3,12,89.53
Line-A,Type-Z,주간,189.62,182.34,1.254,44.6,0.841,105.8,242.8,3,88.98
Line-C,Type-Z,야간,213.19,219.89,1.572,43.9,0.009,103.8,211.0,8,85.32
Line-B,Type-X,주간,205.07,199.73,1.356,61.9,0.181,150.9,325.7,11,91.43
Line-B,Type-X,야간,203.14,203.84,1.623,59.0,0.054,129.3,284.8,7,89.56
Line-A,Type-Z,주간,217.53,210.47,0.8,38.5,0.057,131.9,273.8,1,91.89
Line-C,Type-Y,주간,182.03,,1.453,52.3,0.088,124.8,260.1,12,90.72
Line-B,Type-Y,주간,203.49,204.04,1.587,47.3,0.025,130.8,283.2,15,93.22
Line-C,Type-X,야간,166.68,177.71,1.301,53.7,0.152,97.5,212.3,14,90.36
Line-A,Type-X,주간,218.18,218.91,1.223,69.8,0.168,90.9,190.9,2,89.22
Line-A,Type-X,주간,203.35,197.37,1.716,65.1,0.138,118.4,261.5,2,89.68
Line-A,Type-Y,주간,211.29,214.88,0.997,50.9,0.058,111.2,240.8,6,90.92
Line-C,Type-X,야간,199.08,194.3,1.477,53.3,0.789,143.5,308.9,11,86.1
Line-B,Type-Z,야간,214.18,214.17,1.009,48.9,0.034,116.8,247.2,2,86.27
Line-A,Type-Y,주간,203.56,203.97,1.294,40.8,0.029,114.0,254.9,10,91.9
Line-B,Type-Y,주간,208.34,207.32,1.422,56.0,0.115,131.1,276.2,3,89.83
Line-C,Type-Y,주간,210.94,215.21,1.433,33.8,0.135,129.2,268.7,2,87.77
Line-A,Type-Y,야간,195.52,191.06,1.349,47.8,0.447,164.9,345.0,10,91.93
Line-A,Type-X,주간,173.95,166.67,1.671,48.0,0.016,153.4,315.1,9,93.69
Line-B,Type-Y,야간,197.4,201.83,1.759,59.6,0.101,109.7,233.9,11,90.07
Line-B,Type-X,야간,179.2,180.99,1.669,56.9,0.094,141.5,298.4,9,92.72
Line-C,Type-Z,주간,198.93,198.09,1.163,55.8,0.551,134.0,282.3,14,88.26
Line-A,Type-Y,주간,230.29,227.11,1.248,69.4,0.93,117.4,247.3,2,85.1
Line-A,Type-Y,주간,193.7,197.44,1.409,52.7,0.938,142.6,304.3,5,89.32
Line-C,Type-X,주간,186.46,185.31,1.767,61.7,0.187,124.4,267.9,7,90.02
Line-A,Type-Z,주간,202.65,200.63,1.307,56.5,0.576,113.0,222.3,7,91.44
Line-A,Type-Z,주간,215.79,212.43,1.706,39.8,0.4,124.3,272.6,7,90.59
Line-B,Type-Y,주간,209.25,204.73,1.621,53.7,0.062,143.3,298.2,13,88.34
Line-A,Type-Y,주간,209.77,211.02,1.537,40.6,0.225,154.4,320.5,15,92.1
Line-C,Type-Z,주간,205.09,207.47,1.575,52.6,1.252,132.9,281.4,12,82.58
Line-B,Type-Y,주간,178.76,174.38,1.487,52.1,0.055,147.2,316.3,2,90.93
Line-C,Type-Z,야간,191.33,190.77,1.408,39.8,0.171,155.0,311.8,15,88.63
Line-C,Type-Z,주간,219.41,227.07,1.556,56.5,0.318,114.1,238.9,11,84.87
Line-A,Type-Z,야간,197.38,198.65,1.58,61.9,0.124,137.2,292.6,2,87.22
Line-B,Type-Y,주간,185.65,186.74,1.533,53.3,0.161,107.3,223.8,15,91.82
Line-C,Type-X,주간,175.3,169.08,1.249,53.4,0.175,149.7,311.5,4,91.3
Line-A,Type-Y,주간,182.93,183.39,1.684,50.2,0.042,131.5,259.9,3,90.47
Line-A,Type-Y,주간,182.96,191.3,1.499,36.5,0.138,111.8,238.3,1,91.56
Line-B,Type-X,주간,196.74,181.53,1.642,,0.592,130.7,259.2,5,91.54
Line-B,Type-Z,주간,202.36,203.45,1.668,50.7,0.585,132.9,279.4,10,88.42
Line-A,Type-Y,야간,205.3,207.44,1.635,50.7,0.087,93.2,180.8,14,88.86
Line-A,Type-Y,야간,196.52,197.45,1.636,46.9,0.192,128.2,251.0,13,92.65
Line-A,Type-X,야간,185.79,179.14,1.969,50.2,0.157,109.1,240.0,3,91.77
Line-A,Type-Y,야간,216.77,222.55,1.101,,0.032,119.8,252.7,6,86.62
Line-B,Type-X,주간,218.05,224.52,1.911,38.1,0.027,99.9,211.0,5,87.68
Line-A,Type-Z,주간,200.65,199.1,1.322,50.3,0.343,95.8,193.9,4,86.44
Line-B,Type-Y,주간,190.09,186.96,1.34,53.4,0.811,70.0,157.9,10,86.81
Line-B,Type-Z,주간,197.49,195.62,1.22,50.5,0.333,113.2,234.9,4,87.9
Line-B,Type-Z,주간,200.25,204.01,1.648,51.6,0.63,113.0,228.6,9,88.27
Line-A,Type-Y,주간,214.79,217.93,1.59,27.0,0.057,125.0,263.9,15,93.61
Line-A,Type-Z,주간,198.8,200.29,1.211,50.3,0.031,103.6,211.6,15,92.56
Line-B,Type-Z,주간,192.87,195.98,1.076,51.9,0.09,94.3,192.8,2,91.69
Line-A,Type-X,주간,201.81,207.36,1.877,40.7,0.125,150.3,312.4,10,94.84
Line-B,Type-Z,야간,223.44,234.96,1.841,65.1,0.167,108.9,220.6,1,86.95
Line-A,Type-Y,주간,229.38,228.4,1.399,44.8,0.295,100.6,217.7,12,91.22
Line-B,Type-Z,주간,212.32,212.62,1.553,42.1,0.171,92.4,189.0,15,89.45
Line-A,Type-Z,야간,189.26,188.61,1.687,50.7,0.21,161.3,341.5,4,89.65
Line-A,Type-Y,주간,204.71,195.91,2.003,38.4,0.224,116.3,237.5,3,90.7
Line-A,Type-Z,주간,170.58,167.98,0.969,37.9,0.224,115.9,259.7,15,90.89
Line-C,Type-X,야간,200.61,200.3,1.721,52.4,0.097,148.2,306.4,9,89.39
Line-B,Type-Z,주간,199.02,189.2,1.476,37.6,0.034,130.9,263.8,12,90.6
Line-C,Type-Z,주간,182.2,193.47,1.579,45.0,0.498,144.2,313.1,9,88.95
Line-A,Type-Z,야간,197.33,200.95,1.355,45.6,0.028,133.7,280.2,14,89.54
Line-B,Type-X,야간,210.43,211.26,0.868,50.0,0.648,103.4,220.2,14,87.68
Line-A,Type-Z,주간,169.49,162.64,2.348,60.6,0.259,107.8,223.2,11,91.06
Line-A,Type-X,주간,179.55,185.7,1.474,55.8,0.289,125.7,280.7,5,92.09
Line-A,Type-Y,주간,185.14,187.54,1.466,45.1,0.713,119.2,247.6,8,89.86
Line-B,Type-Z,야간,195.22,188.79,1.474,53.9,0.861,81.2,170.5,15,86.35
Line-A,Type-Z,야간,167.51,159.37,1.722,43.1,0.057,176.6,359.0,6,92.04
Line-A,Type-X,주간,229.25,237.31,1.424,61.2,0.03,95.9,184.9,7,93.21
Line-B,Type-Z,주간,202.59,216.35,1.574,57.9,0.623,78.7,145.6,6,85.04
Line-C,Type-X,주간,183.21,176.55,1.694,40.8,0.91,143.0,298.8,3,89.85
Line-B,Type-Z,야간,203.15,203.28,1.652,45.9,0.61,70.0,136.3,4,83.51
Line-C,Type-Y,야간,196.62,197.99,1.306,62.5,0.634,115.6,236.9,12,86.94
Line-B,Type-Y,야간,199.75,198.56,1.653,56.5,0.246,128.6,263.9,12,88.28
Line-C,Type-X,주간,208.7,205.78,1.251,,0.448,134.5,270.6,2,88.75
Line-B,Type-Y,주간,196.73,,1.324,48.2,0.047,142.9,308.6,14,94.5
Line-A,Type-Y,주간,203.6,204.24,2.099,48.5,0.402,119.0,255.7,5,88.4
Line-B,Type-X,야간,187.83,180.13,1.567,40.8,0.927,111.5,221.4,6,90.38
Line-B,Type-Y,야간,224.91,225.43,0.929,39.1,0.354,161.2,328.3,9,89.16
Line-B,Type-Y,주간,219.12,220.51,1.657,60.5,0.306,120.5,261.3,11,88.71
Line-A,Type-Z,주간,186.89,189.69,1.767,55.2,0.536,105.1,227.3,3,87.65
Line-A,Type-X,주간,208.38,207.0,1.836,54.2,0.144,133.9,284.6,13,93.6
Line-B,Type-X,주간,194.16,194.44,1.613,,0.063,93.7,195.7,2,90.12
Line-B,Type-Y,야간,189.63,199.38,1.32,70.1,0.233,119.3,264.2,1,85.73
Line-A,Type-Z,주간,209.79,210.34,0.989,60.1,0.827,115.7,247.4,3,88.11
Line-A,Type-X,주간,221.9,213.51,1.364,32.8,0.115,96.0,204.6,1,92.3
Line-B,Type-Y,주간,199.18,210.53,1.463,67.0,0.088,109.8,241.1,9,91.37
Line-C,Type-X,야간,200.16,200.74,1.229,45.7,0.069,106.4,220.6,15,91.84
Line-A,Type-Z,주간,211.43,208.65,1.455,68.2,0.102,83.3,181.8,2,88.79
Line-A,Type-Y,주간,197.14,194.59,1.262,35.9,0.319,97.5,211.0,2,90.6
Line-C,Type-X,주간,177.22,168.62,1.465,62.0,0.024,80.3,175.7,9,89.98
Line-A,Type-Z,주간,166.69,164.03,1.298,47.3,0.665,113.1,234.0,5,92.5
Line-A,Type-X,주간,209.52,211.62,0.992,65.2,0.263,137.6,275.0,13,91.63
Line-B,Type-Y,주간,204.33,205.87,1.549,60.6,0.197,154.8,328.5,15,89.16
Line-A,Type-Z,주간,203.56,204.87,1.77,41.5,0.254,125.9,259.8,11,89.44
Line-A,Type-Y,야간,216.74,217.44,1.481,58.2,0.1,125.6,268.3,10,87.28
Line-B,Type-X,주간,200.56,210.45,1.584,48.4,0.046,111.6,235.8,5,89.88
Line-C,Type-Z,주간,187.6,184.2,1.507,62.1,0.017,110.9,249.5,5,89.3
Line-B,Type-Z,야간,184.02,178.89,1.512,56.2,0.67,101.8,210.0,14,89.85
Line-A,Type-Z,야간,224.23,223.2,1.864,54.1,0.563,117.3,242.2,1,84.12
Line-B,Type-Z,주간,212.92,215.22,1.485,51.1,0.071,102.4,206.8,8,90.46
Line-B,Type-X,야간,201.11,198.61,1.776,74.2,0.233,121.7,253.0,3,89.19
Line-A,Type-Z,주간,202.0,202.21,1.146,37.0,0.702,148.7,325.9,5,90.17
Line-A,Type-X,야간,202.55,196.33,1.344,54.6,0.392,100.6,219.9,9,89.72
Line-A,Type-X,야간,220.16,224.72,1.464,31.9,0.159,114.8,239.4,5,89.93
Line-A,Type-Y,주간,180.13,180.63,0.828,51.4,0.737,121.1,259.4,12,93.4
Line-B,Type-Y,주간,183.5,177.47,1.212,59.1,0.122,101.0,190.8,11,89.14
Line-B,Type-X,야간,200.74,199.59,1.708,54.7,0.025,127.2,272.5,4,87.93
Line-A,Type-X,주간,202.39,202.97,1.411,63.9,0.122,144.5,318.9,14,92.61
Line-B,Type-Y,야간,191.99,185.19,1.679,60.1,0.474,121.6,255.1,14,87.66
Line-A,Type-Z,주간,194.23,197.6,1.713,48.4,0.269,101.5,228.1,13,91.06
Line-A,Type-Y,주간,208.29,215.74,1.32,65.3,0.325,134.3,287.3,14,90.45
Line-A,Type-X,주간,197.9,207.44,1.161,41.6,0.598,120.0,255.3,3,92.56
Line-A,Type-X,야간,194.04,190.61,0.925,40.3,0.077,127.1,261.9,5,94.43
Line-A,Type-Y,야간,195.89,196.06,1.097,41.9,0.278,105.9,237.2,15,90.61
Line-C,Type-Z,주간,186.11,195.27,1.506,46.9,0.415,158.8,330.2,11,88.44
Line-A,Type-Y,야간,211.67,212.72,2.103,52.7,0.131,119.3,237.5,9,86.0
Line-A,Type-Y,주간,214.33,209.48,1.537,49.7,0.153,103.1,213.3,6,88.82
Line-C,Type-X,야간,204.58,201.51,4.0,49.4,0.016,136.0,282.3,13,86.39
Line-A,Type-Z,주간,202.21,196.35,1.575,59.7,0.024,142.3,288.2,14,91.82
Line-B,Type-Y,주간,215.85,221.05,1.787,59.3,0.299,101.7,212.4,11,88.82
Line-A,Type-X,야간,208.62,206.09,2.165,46.3,0.475,98.3,208.1,3,86.28
Line-C,Type-X,주간,206.89,202.2,1.846,42.5,0.243,145.1,310.2,10,89.91
Line-B,Type-X,야간,184.05,181.7,1.245,46.9,0.35,118.9,250.5,8,92.67
Line-B,Type-Z,야간,222.36,223.7,1.559,54.3,0.103,89.1,185.1,7,83.72
Line-C,Type-Z,주간,194.78,200.6,2.078,40.7,0.359,125.3,250.7,9,86.45
Line-A,Type-Y,야간,190.84,184.26,1.313,42.5,0.276,115.2,245.5,4,89.37
Line-B,Type-Y,주간,222.57,227.47,1.927,48.0,0.215,97.7,211.0,6,89.08
Line-A,Type-X,야간,191.28,203.35,1.962,56.8,0.428,116.7,241.4,10,92.48
Line-B,Type-Y,야간,177.94,173.05,1.617,57.2,0.273,124.9,253.5,14,87.73
Line-A,Type-X,주간,201.95,203.09,1.343,48.7,0.097,136.9,288.8,7,92.29
Line-A,Type-X,야간,206.02,207.52,1.671,45.6,0.187,121.7,261.1,14,92.21
Line-C,Type-Y,야간,200.57,194.89,1.224,40.0,0.367,99.2,225.9,2,86.2
Line-A,Type-X,야간,228.82,228.62,1.402,63.8,0.933,133.8,266.7,2,88.11
Line-B,Type-X,야간,176.77,173.22,1.356,42.5,0.011,98.5,198.6,3,90.44
Line-A,Type-Z,주간,227.09,230.3,1.156,33.6,0.599,121.8,242.4,5,88.9
Line-A,Type-Z,야간,197.55,,1.452,55.0,0.274,136.8,277.5,12,90.9
Line-B,Type-Z,주간,197.02,198.94,1.797,48.0,0.067,138.4,274.9,3,86.28
Line-A,Type-X,야간,208.96,207.61,1.906,46.7,0.095,107.7,225.5,15,92.2
Line-C,Type-Z,주간,190.44,183.98,3.5,38.1,0.223,94.4,220.5,15,87.3
Line-B,Type-X,야간,206.55,203.82,1.217,,0.464,133.3,280.9,7,93.19
Line-A,Type-Z,주간,208.77,206.12,1.779,44.9,0.165,77.1,166.3,2,86.68
Line-A,Type-Z,주간,207.7,207.25,1.515,45.5,0.621,136.1,278.7,12,89.81
Line-B,Type-Y,주간,201.13,184.2,1.721,53.0,0.583,155.1,318.1,13,90.33
Line-B,Type-Z,야간,225.65,236.84,1.672,54.8,0.042,102.3,216.6,13,86.35
Line-A,Type-Z,주간,219.66,216.4,1.728,59.1,0.875,115.3,247.8,1,85.38
Line-C,Type-Z,주간,193.33,193.45,1.532,55.6,0.111,125.1,247.3,8,87.68
Line-B,Type-X,주간,212.59,216.01,2.028,54.0,0.285,142.7,291.7,7,93.61
Line-C,Type-Y,주간,209.77,219.07,1.772,47.1,0.615,114.8,255.1,12,89.1
Line-B,Type-Z,주간,187.4,188.18,1.597,47.3,1.288,122.0,271.9,1,83.49
Line-C,Type-Y,주간,203.46,201.09,1.153,62.3,0.902,136.6,283.8,5,87.08
Line-B,Type-X,주간,188.66,186.68,1.307,54.4,0.475,77.1,147.9,7,90.11
Line-B,Type-X,야간,184.88,187.68,1.782,54.3,0.29,150.4,307.7,9,90.22
Line-C,Type-Y,주간,213.26,211.88,1.346,52.5,0.301,143.0,289.4,9,87.69
Line-A,Type-Y,주간,203.65,205.99,1.693,49.2,1.261,118.6,218.4,11,89.67
Line-A,Type-Y,주간,185.23,189.57,1.307,50.0,0.171,102.6,212.5,7,90.06
Line-C,Type-Y,주간,203.43,204.11,2.204,,0.209,131.3,271.4,11,89.22
Line-A,Type-Z,야간,199.11,198.78,1.393,62.4,0.062,155.7,341.6,6,86.94
